Stem,Year,DBH,Comment
18401,1999,24.2,NA
18401,2002,25.9,NA
18401,2005,27.7,NA
18401,2014,NA,dead
18402,1993,33,NA
18402,1996,34.5,NA
18402,1999,35.8,NA
18402,2002,36.8,NA
18402,2005,38.3,NA
18402,2014,43.8,NA
18403,1993,7.1,NA
18403,1996,7.1,NA
18403,1999,7.2,NA
18403,2002,7.2,NA
18403,2005,7.2,NA
18403,2014,NA,dead
18404,1993,5.2,NA
18404,1996,5.3,NA
18404,1999,5.3,NA
18404,2002,5.4,NA
18404,2005,5.5,NA
18404,2014,NA,dead
18405,1993,19.2,NA
18405,1996,19.4,NA
18405,1999,19.5,NA
18405,2002,19.7,NA
18405,2005,19.7,NA
18405,2014,NA,dead
18406,1993,10.1,NA
18406,1996,10.3,NA
18406,1999,10.5,NA
18406,2002,10.6,NA
18406,2005,10.7,NA
18406,2014,NA,dead
18407,1993,3.8,NA
18407,1996,4.2,NA
18407,1999,4.8,NA
18407,2002,5.6,NA
18407,2005,6.2,NA
